=== RESULTADO DA QUERY 1 ===
linhas_alvo: 16055

=== RESULTADO DA QUERY 2 (Amostra 200) ===
id       | ts_local             | imp      | ger      | exp      | consumo_calc
25120    | 2026-07-12 02:20:53  | 476.0    | 0.0      | 0.0      | 476.0       
25119    | 2026-07-12 02:15:52  | 1742.0   | 0.0      | 0.0      | 1742.0      
25118    | 2026-07-12 02:10:51  | 560.0    | 0.0      | 0.0      | 560.0       
25117    | 2026-07-12 02:05:50  | 743.0    | 0.0      | 0.0      | 743.0       
25116    | 2026-07-12 02:00:49  | 760.0    | 0.0      | 0.0      | 760.0       
25115    | 2026-07-12 01:55:48  | 1047.0   | 0.0      | 0.0      | 1047.0      
25114    | 2026-07-12 01:50:47  | 896.0    | 0.0      | 0.0      | 896.0       
25113    | 2026-07-12 01:45:46  | 1073.0   | 0.0      | 0.0      | 1073.0      
25112    | 2026-07-12 01:40:45  | 940.0    | 0.0      | 0.0      | 940.0       
25111    | 2026-07-12 01:35:44  | 1124.0   | 0.0      | 0.0      | 1124.0      
25110    | 2026-07-12 01:30:43  | 963.0    | 0.0      | 0.0      | 963.0       
25109    | 2026-07-12 01:25:42  | 1118.0   | 0.0      | 0.0      | 1118.0      
25108    | 2026-07-12 01:20:41  | 963.0    | 0.0      | 0.0      | 963.0       
25107    | 2026-07-12 01:15:40  | 1123.0   | 0.0      | 0.0      | 1123.0      
25106    | 2026-07-12 01:10:39  | 989.0    | 0.0      | 0.0      | 989.0       
25105    | 2026-07-12 01:05:38  | 1123.0   | 0.0      | 0.0      | 1123.0      
25104    | 2026-07-12 01:00:37  | 955.0    | 0.0      | 0.0      | 955.0       
25103    | 2026-07-12 00:55:36  | 1168.0   | 0.0      | 0.0      | 1168.0      
25102    | 2026-07-12 00:50:35  | 837.0    | 0.0      | 0.0      | 837.0       
25101    | 2026-07-12 00:45:33  | 1324.0   | 0.0      | 0.0      | 1324.0      
25100    | 2026-07-12 00:40:33  | 1239.0   | 0.0      | 0.0      | 1239.0      
